given_same_num_busn,num_busn,proportion
2,3,0.4597723810377274
2,4,0.3272101938257222
2,5,0.272583306838655
2,6,0.2454822517031194
2,7,0.2284888817161428
2,8,0.2170401194589919
2,9,0.20856840620592385
3,4,0.554552385669043
3,5,0.3948316016157824
3,6,0.319839297862463
3,7,0.2766422099193502
3,8,0.24952258447533765
3,9,0.2308990285027105
4,5,0.6262683182196065
4,6,0.45817631238837747
4,7,0.36608614089791364
4,8,0.31047664776819517
4,9,0.27364438839848676
5,6,0.6827510985072767
5,7,0.5109796400744478
5,8,0.4095027767854243
5,9,0.3438663278605519
6,7,0.7190085936488653
6,8,0.5524811041735129
6,9,0.4462792820200791
7,8,0.7493536980358363
7,9,0.5886800327463602
8,9,0.7724697209057398
